#    L    TT             EE             BB             TE             PP             TP             EP          
   161   0.473496E+04   0.969428E+00   0.000000E+00  -0.444602E+02   0.581727E-07   0.188521E-03  -0.592792E-06
   162   0.476494E+04   0.962173E+00   0.000000E+00  -0.442803E+02   0.578110E-07   0.186819E-03  -0.595014E-06
   163   0.479480E+04   0.954607E+00   0.000000E+00  -0.440753E+02   0.574526E-07   0.185136E-03  -0.597623E-06
   164   0.482424E+04   0.946801E+00   0.000000E+00  -0.438467E+02   0.570973E-07   0.183472E-03  -0.600519E-06
   165   0.485356E+04   0.938676E+00   0.000000E+00  -0.435921E+02   0.567454E-07   0.181827E-03  -0.603600E-06
   166   0.488260E+04   0.930378E+00   0.000000E+00  -0.433130E+02   0.563965E-07   0.180200E-03  -0.606764E-06
   167   0.491145E+04   0.921681E+00   0.000000E+00  -0.430102E+02   0.560509E-07   0.178590E-03  -0.609912E-06
   168   0.493988E+04   0.912951E+00   0.000000E+00  -0.426814E+02   0.557084E-07   0.176996E-03  -0.612941E-06
   169   0.496805E+04   0.903889E+00   0.000000E+00  -0.423265E+02   0.553689E-07   0.175419E-03  -0.615751E-06
   170   0.499595E+04   0.894714E+00   0.000000E+00  -0.419471E+02   0.550326E-07   0.173857E-03  -0.618241E-06
   171   0.502343E+04   0.885422E+00   0.000000E+00  -0.415408E+02   0.546993E-07   0.172310E-03  -0.620310E-06
   172   0.505058E+04   0.875936E+00   0.000000E+00  -0.411092E+02   0.543690E-07   0.170777E-03  -0.621856E-06
   173   0.507731E+04   0.866252E+00   0.000000E+00  -0.406521E+02   0.540418E-07   0.169257E-03  -0.622779E-06
   174   0.510378E+04   0.856662E+00   0.000000E+00  -0.401697E+02   0.537175E-07   0.167751E-03  -0.622978E-06
   175   0.512992E+04   0.846868E+00   0.000000E+00  -0.396610E+02   0.533961E-07   0.166256E-03  -0.622352E-06
   176   0.515557E+04   0.837087E+00   0.000000E+00  -0.391260E+02   0.530777E-07   0.164774E-03  -0.620822E-06
   177   0.518089E+04   0.827241E+00   0.000000E+00  -0.385663E+02   0.527622E-07   0.163303E-03  -0.618400E-06
   178   0.520580E+04   0.817547E+00   0.000000E+00  -0.379801E+02   0.524495E-07   0.161844E-03  -0.615121E-06
   179   0.523030E+04   0.807703E+00   0.000000E+00  -0.373675E+02   0.521397E-07   0.160397E-03  -0.611018E-06
   180   0.525454E+04   0.797927E+00   0.000000E+00  -0.367299E+02   0.518326E-07   0.158961E-03  -0.606125E-06
   181   0.527831E+04   0.788213E+00   0.000000E+00  -0.360671E+02   0.515283E-07   0.157538E-03  -0.600477E-06
   182   0.530166E+04   0.778631E+00   0.000000E+00  -0.353776E+02   0.512268E-07   0.156126E-03  -0.594107E-06
   183   0.532453E+04   0.769100E+00   0.000000E+00  -0.346628E+02   0.509280E-07   0.154727E-03  -0.587050E-06
   184   0.534707E+04   0.759691E+00   0.000000E+00  -0.339219E+02   0.506319E-07   0.153339E-03  -0.579340E-06
   185   0.536920E+04   0.750546E+00   0.000000E+00  -0.331570E+02   0.503384E-07   0.151964E-03  -0.571011E-06
   186   0.539056E+04   0.741520E+00   0.000000E+00  -0.323651E+02   0.500475E-07   0.150601E-03  -0.562097E-06
   187   0.541180E+04   0.732748E+00   0.000000E+00  -0.315477E+02   0.497593E-07   0.149250E-03  -0.552631E-06
   188   0.543257E+04   0.724210E+00   0.000000E+00  -0.307060E+02   0.494736E-07   0.147911E-03  -0.542649E-06
   189   0.545278E+04   0.715938E+00   0.000000E+00  -0.298386E+02   0.491904E-07   0.146585E-03  -0.532184E-06
   190   0.547289E+04   0.707979E+00   0.000000E+00  -0.289475E+02   0.489098E-07   0.145271E-03  -0.521270E-06
   191   0.549214E+04   0.700350E+00   0.000000E+00  -0.280299E+02   0.486316E-07   0.143969E-03  -0.509941E-06
   192   0.551107E+04   0.693069E+00   0.000000E+00  -0.270877E+02   0.483558E-07   0.142680E-03  -0.498231E-06
   193   0.552944E+04   0.686174E+00   0.000000E+00  -0.261224E+02   0.480825E-07   0.141403E-03  -0.486175E-06
   194   0.554748E+04   0.679690E+00   0.000000E+00  -0.251317E+02   0.478116E-07   0.140139E-03  -0.473806E-06
   195   0.556497E+04   0.673649E+00   0.000000E+00  -0.241177E+02   0.475430E-07   0.138888E-03  -0.461158E-06
   196   0.558191E+04   0.668083E+00   0.000000E+00  -0.230797E+02   0.472768E-07   0.137649E-03  -0.448265E-06
   197   0.559845E+04   0.663032E+00   0.000000E+00  -0.220190E+02   0.470128E-07   0.136423E-03  -0.435161E-06
   198   0.561450E+04   0.658512E+00   0.000000E+00  -0.209348E+02   0.467511E-07   0.135210E-03  -0.421881E-06
   199   0.563008E+04   0.654556E+00   0.000000E+00  -0.198279E+02   0.464917E-07   0.134009E-03  -0.408457E-06
   200   0.564519E+04   0.651188E+00   0.000000E+00  -0.186987E+02   0.462345E-07   0.132822E-03  -0.394925E-06
   201   0.565974E+04   0.648463E+00   0.000000E+00  -0.175466E+02   0.459794E-07   0.131647E-03  -0.381313E-06
   202   0.567382E+04   0.646388E+00   0.000000E+00  -0.163729E+02   0.457266E-07   0.130485E-03  -0.367630E-06
   203   0.568734E+04   0.645022E+00   0.000000E+00  -0.151768E+02   0.454758E-07   0.129336E-03  -0.353880E-06
   204   0.570024E+04   0.644389E+00   0.000000E+00  -0.139611E+02   0.452272E-07   0.128199E-03  -0.340067E-06
   205   0.571265E+04   0.644533E+00   0.000000E+00  -0.127237E+02   0.449807E-07   0.127074E-03  -0.326195E-06
   206   0.572443E+04   0.645491E+00   0.000000E+00  -0.114655E+02   0.447363E-07   0.125962E-03  -0.312268E-06
   207   0.573573E+04   0.647286E+00   0.000000E+00  -0.101871E+02   0.444940E-07   0.124861E-03  -0.298289E-06
   208   0.574632E+04   0.649971E+00   0.000000E+00  -0.888884E+01   0.442537E-07   0.123773E-03  -0.284263E-06
   209   0.575635E+04   0.653566E+00   0.000000E+00  -0.757098E+01   0.440154E-07   0.122696E-03  -0.270194E-06
   210   0.576582E+04   0.658126E+00   0.000000E+00  -0.623436E+01   0.437791E-07   0.121630E-03  -0.256085E-06
   211   0.577472E+04   0.663680E+00   0.000000E+00  -0.487893E+01   0.435449E-07   0.120576E-03  -0.241941E-06
   212   0.578291E+04   0.670257E+00   0.000000E+00  -0.350556E+01   0.433126E-07   0.119533E-03  -0.227766E-06
   213   0.579061E+04   0.677903E+00   0.000000E+00  -0.211412E+01   0.430823E-07   0.118501E-03  -0.213563E-06
   214   0.579767E+04   0.686611E+00   0.000000E+00  -0.705714E+00   0.428539E-07   0.117480E-03  -0.199336E-06
   215   0.580415E+04   0.696573E+00   0.000000E+00   0.718991E+00   0.426274E-07   0.116470E-03  -0.185089E-06
   216   0.581000E+04   0.707605E+00   0.000000E+00   0.216060E+01   0.424028E-07   0.115470E-03  -0.170827E-06
   217   0.581535E+04   0.719862E+00   0.000000E+00   0.361720E+01   0.421801E-07   0.114481E-03  -0.156553E-06
   218   0.582005E+04   0.733346E+00   0.000000E+00   0.508910E+01   0.419593E-07   0.113502E-03  -0.142270E-06
   219   0.582417E+04   0.748055E+00   0.000000E+00   0.657734E+01   0.417403E-07   0.112532E-03  -0.127984E-06
   220   0.582772E+04   0.764139E+00   0.000000E+00   0.807755E+01   0.415232E-07   0.111573E-03  -0.113698E-06
   221   0.583070E+04   0.781524E+00   0.000000E+00   0.959206E+01   0.413078E-07   0.110624E-03  -0.994160E-07
   222   0.583309E+04   0.800358E+00   0.000000E+00   0.111195E+02   0.410942E-07   0.109684E-03  -0.851415E-07
   223   0.583476E+04   0.820569E+00   0.000000E+00   0.126606E+02   0.408824E-07   0.108753E-03  -0.708789E-07
   224   0.583600E+04   0.842155E+00   0.000000E+00   0.142118E+02   0.406724E-07   0.107832E-03  -0.566319E-07
   225   0.583658E+04   0.865265E+00   0.000000E+00   0.157761E+02   0.404641E-07   0.106920E-03  -0.424046E-07
   226   0.583658E+04   0.889901E+00   0.000000E+00   0.173500E+02   0.402575E-07   0.106017E-03  -0.282008E-07
   227   0.583592E+04   0.916062E+00   0.000000E+00   0.189349E+02   0.400526E-07   0.105123E-03  -0.140245E-07
   228   0.583475E+04   0.943748E+00   0.000000E+00   0.205296E+02   0.398493E-07   0.104237E-03   0.120296E-09
   229   0.583299E+04   0.973034E+00   0.000000E+00   0.221325E+02   0.396478E-07   0.103360E-03   0.142298E-07
